Site,Latitude (°),Longitude (°),Basin,Geomorphology,Basin Type (NZVM 2.09),Vs30,Z1 (NZVM 2.09),Z1 (GTL),"Z1, sim (NZVM 2.09)","Z1, sim (GTL)",NEs,Ratio
TEPS,-41.29058776,174.7810642,Wellington,Basin,Type 3,292,128.45,68.97,125.45,65.97,21,1.901621949
TFSS,-41.27542742,174.7830542,Wellington,Basin,Type 3,271,341.1,66.4,330.1,55.4,16,5.958483755
THHS,-39.67995471,175.7955932,-,Hill,Non-Basin,466,56.88,56.88,28.83,28.83,5,1
THOB,-40.78940244,175.0929713,PalmerstonNorth,Basin,Type 1,258,331.63,55.04,325.63,49.04,17,6.640089723
THZ,-41.76247413,172.9052183,Nelson,Hill,Non-Basin,800,53.03,53.03,26.78,26.78,18,1
TIRS,-38.46891053,175.9097091,-,Hill,Non-Basin,600,62.57,62.57,31.79,31.79,6,1
TKHS,-38.33280618,175.1555504,WaikatoHauraki,Valley,Type 1,279,63.06,63.06,31.72,31.72,3,1
TMBS,-46.07183991,170.1957102,-,Basin,Unmodeled,295,73.88,73.88,62.88,62.88,3,1
TMDS,-41.07808378,175.1554398,-,Hill,Non-Basin,800,56.6,56.6,28.76,28.76,9,1
TMHS,-37.13968503,175.5465195,WaikatoHauraki,Basin,Type 1,459,617,62.66,601,46.66,3,12.88041149
TOKS,-43.82243,172.78084,BPVOutcrops,Hill,Non-Basin,674,2.29,46.38,1.18,23.23,10,0.050796384
TOTS,-41.10492,175.08539,Wellington,Basin Edge,Type 3,500,58,58,29.22,29.22,10,1
TOZ,-37.73095563,175.5018468,WaikatoHauraki,Hill,Non-Basin,800,53.08,53.08,26.82,26.82,4,1
TPLC,-43.54999716,172.4719542,Canterbury,Basin,Type 4,398,439.15,76.56,399.15,38.61,11,10.33799534
TPPS,-38.68632513,176.0674702,-,Basin,Unmodeled,454,75.9,75.9,38.11,38.11,4,1
TRCS,-44.40281631,171.2444437,Canterbury,Basin,Type 4,498,1188.05,77.81,1167.05,56.81,5,20.5430382
TRMS,-40.671276,175.990997,-,Hill,Non-Basin,622,58.63,58.63,29.38,29.38,10,1
TRTS,-41.2987,174.7739,Wellington,Basin Edge,Type 3,270,51.78,51.78,25.96,25.96,17,1
TSFS,-40.84942291,172.8211014,Collingwood,Basin,Type 1,380,49.92,49.92,28.92,28.92,19,1
TSZ,-40.0585531,175.9611239,-,Hill,Non-Basin,800,49.26,49.26,24.7,24.7,12,1
TUHS,-38.8641168,175.2483096,-,Hill,Non-Basin,590,71.68,71.68,35.96,35.96,3,1
TUWZ,-41.42938895,173.9428929,-,Hill,Non-Basin,1000,32.39,32.39,16.65,16.65,4,1
TWAS,-44.25458909,170.0983395,Mackenzie,Basin,Type 1,247,200.36,61.45,100.31,31.11,5,3.224365156
UHCS,-41.12681462,175.0409381,Wellington,Basin,Type 3,390,378.1,70.07,327.1,35.08,15,9.324401368
UHSS,-41.12638,175.06509,Wellington,Basin,Type 3,481,109.65,71.73,55.59,36.33,8,1.53014038
URZ,-38.25924909,177.1108945,-,Hill,Non-Basin,800,48.73,48.73,24.4,24.4,9,1
VRZ,-39.12434088,174.7584526,-,Hill,Non-Basin,673,63.78,63.78,32.17,32.17,4,1
VUWS,-41.279854,174.778399,Wellington,Basin Edge,Type 3,286,86.67,58.72,75.66,47.72,23,1.585498743
WAIS,-38.63246,176.0937,-,Hill,Non-Basin,674,60.59,60.59,30.32,30.32,3,1
WAKC,-42.96310283,172.7052401,NorthCanterbury,Basin,Type 1,300,71.78,71.78,36.09,36.09,36,1
WAKS,-39.77272767,176.2516786,SouthernHawkesBay,Valley,Type 1,418,68.97,68.97,34.7,34.7,5,1
WANS,-41.23121,174.93102,-,Hill,Non-Basin,1000,35.23,35.23,17.97,17.97,15,1
WAZ,-39.75464442,174.9855329,-,Hill,Non-Basin,690,71.86,71.86,36.12,36.12,11,1
WBCS,-41.75566052,171.5998118,Westport,Basin,Type 1,215,158.2,60.64,150.2,52.64,12,2.853343465
WBFS,-40.40088128,176.311147,-,Hill,Non-Basin,800,47.61,47.61,24.2,24.2,3,1
WCDS,-39.93363836,175.047993,PalmerstonNorth,Basin,Type 1,250,381.63,73.14,366.63,58.14,3,6.305985552
WCFS,-41.29315,174.7847889,Wellington,Basin,Type 3,349,73.71,73.71,63.71,63.71,3,1
WCSS,-43.45775,171.86346,Canterbury,Basin Edge,Type 4,300,0,50.65,0,25.53,21,0
WDAS,-41.25739739,174.9484664,Wellington,Valley,Type 3,120,71.74,71.74,36.06,36.06,11,1
WDFS,-41.82739874,174.1384237,Marlborough,Valley,Type 1,269,300.25,105.98,272.25,77.98,18,3.491279815
WDPS,-40.33821894,175.8698017,SouthernHawkesBay,Basin,Type 1,290,81.75,62.11,40.71,31.21,7,1.304389619
WEL,-41.28404758,174.768184,-,Hill,Non-Basin,687,43.1,43.1,21.69,21.69,23,1
WEMS,-41.27428738,174.7792642,Wellington,Basin,Type 3,265,116.51,59.34,96.5,39.34,21,2.452974072
WFSS,-39.03424496,177.4249057,HawkesBay,Basin,Type 1,155,94.87,94.87,86.87,86.87,7,1
WHAS,-43.315994,170.32675,WestCoast,Valley,Type 1,271,53.95,53.95,27.23,27.23,7,1
WHFS,-43.261164,170.359029,WestCoast,Basin,Type 1,235,143.43,63.69,83.42,32.27,7,2.585063526
WHZ,-45.8924279,167.9470312,-,Hill,Non-Basin,734,57.15,57.15,28.99,28.99,5,1
WIGC,-42.70118655,172.8003026,NorthCanterbury,Basin,Type 1,478,70.86,70.86,35.88,35.88,11,1
WKHS,-37.96145319,176.985474,Whakatane,Basin,Type 1,206,162.33,76.89,155.33,69.89,9,2.222492488
WKZ,-44.82702135,169.017562,-,Hill,Non-Basin,1000,35.44,35.44,17.86,17.86,8,1
WMGZ,-37.8191,178.4149,-,Hill,Non-Basin,625,69.06,69.06,34.81,34.81,6,1
WNAS,-41.32640865,174.8090344,Wellington,Valley,Type 3,229,76.86,68.07,69.85,61.07,20,1.143769445
WNHS,-41.30077798,174.775514,-,Hill,Non-Basin,493,48.55,48.55,24.42,24.42,9,1
WNKS,-41.28481753,174.7420537,GreaterWellington,Valley,Type 1,369,60.94,60.94,30.68,30.68,21,1
WNPS,-44.69458812,169.1429644,Wanaka,Basin,Type 1,330,199.34,52.34,100.29,26.64,4,3.76463964
WPWS,-39.94386202,176.5843221,-,Valley,Unmodeled,298,77.58,77.58,39.04,39.04,6,1
WRCS,-40.95035201,175.6478165,Wairarapa,Basin,Type 1,500,208.32,67.7,104.31,34.21,6,3.049108448
WSFC,-43.83733232,171.6110115,Canterbury,Basin,Type 4,500,966.05,77.53,803.05,38.86,3,20.66520844
WTES,-41.281576,174.774191,-,Hill,Non-Basin,334,44.5,44.5,22.32,22.32,3,1
WTMC,-42.61945518,173.0535962,NorthCanterbury,Basin,Type 1,504,484.15,70.7,287.15,35.53,9,8.081902618
WTYS,-41.29543,174.78126,Wellington,Basin,Type 3,230,65.77,65.77,53.77,53.77,4,1
WVAS,-43.07155022,170.7371542,WestCoast,Valley,Type 1,270,56.16,56.16,28.43,28.43,18,1
WVFS,-41.62023192,173.3509046,Marlborough,Basin,Type 1,294,204.3,55.28,102.25,27.7,18,3.69133574
WVZ,-43.07435029,170.7367542,WestCoast,Hill,Non-Basin,1000,57.97,57.97,29.14,29.14,11,1
