Site,Latitude (°),Longitude (°),Basin,Geomorphology,Basin Type (NZVM 2.09),Vs30,Z1 (NZVM 2.09),Z1 (GTL),"Z1, sim (NZVM 2.09)","Z1, sim (GTL)",NEs,Ratio
CULC,-42.759438,172.8026023,NorthCanterbury,Basin,Type 1,407,430.14,70.51,221.14,35.35,14,6.25572843
CVZ,-44.38318,171.00616,Canterbury,Hill,Non-Basin,1500,251.05,46.07,125.05,23.27,6,5.373871938
DALS,-43.51198,172.67323,Canterbury,Basin,Type 4,188,622.43,96.61,620.43,94.61,5,6.55776345
DAVS,-41.20578668,174.9543598,Wellington,Basin Edge,Type 3,300,64.62,64.62,43.62,43.62,11,1
DFHS,-43.48967462,172.1021597,Canterbury,Basin,Type 4,515,485.05,50.75,284.05,25.41,21,11.17866982
DGNS,-45.8625648,170.5139057,Dunedin,Valley,Type 1,600,67.82,67.82,44.82,44.82,3,1
DHSS,-43.63026,172.72725,BPVOutcrops,Hill,Non-Basin,535,61.76,55.6,30.91,27.83,19,1.110671937
DKHS,-45.90222588,170.4929352,Dunedin,Valley,Type 1,203,72.17,72.17,67.17,67.17,3,1
DORC,-43.89676518,172.0938275,Canterbury,Basin,Type 4,220,1033.05,80.5,1003.05,50.5,9,19.86237624
DSLC,-43.66749947,172.19792,Canterbury,Basin,Type 4,500,452.57,64.34,382.57,32.2,23,11.8810559
DSZ,-41.74496082,171.8046144,-,Hill,Non-Basin,800,63.87,63.87,32.4,32.4,35,1
DUNS,-45.9051559,170.4706449,-,Hill,Non-Basin,500,47.9,47.9,24.24,24.24,3,1
DUWZ,-40.80171461,173.9216454,-,Hill,Non-Basin,622,47.39,47.39,24.07,24.07,25,1
DVHS,-40.20169649,176.1013651,SouthernHawkesBay,Basin,Type 1,372,59,59,29.52,29.52,8,1
EAZ,-45.2310534,169.3082534,-,Hill,Non-Basin,745,43.58,43.58,22.1,22.1,7,1
EBPS,-41.28942801,174.9002357,Wellington,Hill,Non-Basin,540,56.73,56.73,28.56,28.56,7,1
ECLS,-37.68883,178.54816,-,Hill,Non-Basin,622,85.75,85.75,67.75,67.75,7,1
EKTS,-40.64949542,175.7088284,SouthernHawkesBay,Valley,Type 1,315,60.01,60.01,30.05,30.05,11,1
EYRS,-43.42138,172.35544,Canterbury,Basin,Type 4,318,838.05,55.57,724.05,28.12,10,25.74857752
FAHS,-40.21353557,175.5730484,PalmerstonNorth,Basin,Type 1,264,867.63,68.76,787.63,34.47,5,22.8497244
FAIS,-41.2074,174.9401,-,Hill,Non-Basin,1000,65.24,65.24,32.72,32.72,18,1
FDCS,-44.09865703,170.8286999,Waitaki,Basin,Type 1,301,506.13,68.57,253.13,34.49,13,7.339228762
FGPS,-43.46320814,170.0198028,WestCoast,Basin,Type 1,271,59.02,59.02,29.6,29.6,10,1
FJDS,-43.38913671,170.1842354,WestCoast,Basin Edge,Type 1,270,60.38,60.38,30.29,30.29,12,1
FKPS,-41.28794769,174.7787641,Wellington,Basin Edge,Type 3,323,56.01,56.01,50.01,50.01,19,1
FOZ,-43.53209931,169.8154798,WestCoast,Hill,Non-Basin,1000,55.19,55.19,27.78,27.78,15,1
FTPS,-41.1187051,175.3274418,Wairarapa,Basin,Type 1,294,574.08,83.39,536.08,45.39,9,11.81053095
FXBS,-40.46136017,175.2260331,PalmerstonNorth,Basin,Type 1,258,1292.63,61.24,1286.63,55.24,13,23.2916365
GDLC,-43.586183,172.088753,Canterbury,Basin,Type 4,457,615.07,54.65,488.07,27.54,11,17.72222222
GHHS,-38.64178,178.01772,Gisborne,Basin,Type 1,275,100.6,100.6,66.6,66.6,6,1
GISS,-38.66648887,178.0226743,Gisborne,Basin,Type 1,162,106.71,106.71,99.71,99.71,6,1
GKBS,-38.68217,178.03188,Gisborne,Hill,Non-Basin,576,105.11,105.11,52.92,52.92,11,1
GLWS,-42.59417315,172.5110494,Hanmer,Valley,Type 1,334,744.09,60.92,372.09,30.48,18,12.20767717
GMFS,-42.457849,171.2043,WestCoast,Basin,Type 1,215,72.77,72.77,57.77,57.77,11,1
GODS,-43.5784,172.76926,BPVOutcrops,Hill,Non-Basin,681,0.04,56.68,0.09,28.41,19,0.003167899
GOVS,-43.632421,172.635725,BPVOutcrops,Hill,Non-Basin,479,9.98,26.96,5.42,13.91,19,0.389647735
GRZ,-36.2502,175.4578,-,Hill,Non-Basin,677,49.29,49.29,24.97,24.97,3,1
GVZ,-42.967365,173.03475,-,Hill,Non-Basin,714,50.31,50.31,25.3,25.3,21,1
GWTS,-38.62567786,177.9215832,Gisborne,Basin,Type 1,156,189.34,91.28,177.34,79.28,5,2.236881937
HAFS,-43.14891166,170.5560614,WestCoast,Basin Edge,Type 1,240,145.41,61.44,92.41,31.18,13,2.96375882
HALS,-43.59088047,172.569503,Canterbury,Basin,Type 4,182,87.2,88.57,73.2,74.57,6,0.981628001
HAVS,-41.27227,173.78467,-,Hill,Non-Basin,675,53.3,53.3,27.12,27.12,17,1
HAZ,-37.7561,177.7826,OmaioBay,Hill,Non-Basin,600,49.8,49.8,25.22,25.22,15,1
HDWS,-43.88300614,169.0441479,-,Basin,Unmodeled,214,68.5,68.5,54.5,54.5,7,1
HHSS,-43.5575,172.5928,Canterbury,Basin,Type 4,180,279.22,91.61,267.22,79.61,11,3.356613491
HIBS,-41.1399,175.0359,Wellington,Basin,Type 3,500,149.44,71.12,98.43,35.74,14,2.754057079
HIZ,-38.51292897,174.8556861,-,Hill,Non-Basin,800,50.46,50.46,25.71,25.71,3,1
